pubdate,bvid,url,title,episodes,duration_h,views,likes,coins,favs,replies,author,intro
2026-09-02,BV1uTt76zEy2,https://www.bilibili.com/video/BV1uTt76zEy2,【杀戮尖塔2】第七届猫粮杯表演赛,6,2.34,30459,1025,96,61,91,破碎的星光brkstar,第七届猫粮杯了，第一届尖塔2的猫粮杯 / 希望大家看的开心，希望我能做的下去(拉斐尔说的)
2026-09-02,BV1kPtE68E4L,https://www.bilibili.com/video/BV1kPtE68E4L,杀戮尖塔2—白夕9月录播合集,40,21.33,33607,524,33,51,79,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-09-01,BV1SYtu6UEUR,https://www.bilibili.com/video/BV1SYtu6UEUR,雪夜枪声—正式版上线！新上轮盘赌肉鸽！,1,2.01,11936,608,32,30,31,白夕Seal,游戏名：steam-雪夜枪声  / 视频是8.28号录播
2026-08-22,BV1ZY8r6dEPN,https://www.bilibili.com/video/BV1ZY8r6dEPN,杀戮尖塔2—白夕8.7月录播合集,162,77.18,88968,788,78,96,95,白夕Seal,点点赞汪！点点赞谢谢汪！ / 200p满咯！
2026-08-19,BV1N28G6sEGq,https://www.bilibili.com/video/BV1N28G6sEGq,杀戮尖塔2—这样变2是爽种还是毒种？内马尔幻想中的配合！试试新跃跃欲试！,1,0.31,76949,2296,123,207,395,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-08-18,BV1cU8g6LE93,https://www.bilibili.com/video/BV1cU8g6LE93,杀戮尖塔2—崩坠mod合集,23,13.31,66275,1245,66,332,159,白夕Seal,点点赞汪！点点赞谢谢汪！ / mod名： 崩坠
2026-08-16,BV1HtbU6JErW,https://www.bilibili.com/video/BV1HtbU6JErW,杀戮尖塔2—111版本Nosl合集,83,57.75,107540,1073,114,224,276,白夕Seal,点点赞汪！点点赞谢谢汪！
2026-08-15,BV1uWbC6mESP,https://www.bilibili.com/video/BV1uWbC6mESP,【杀戮尖塔2】第七届猫粮杯录播合集,80,24.19,127592,1276,126,229,254,破碎的星光brkstar,第七届猫粮杯了，第一届尖塔2的猫粮杯 / 希望大家看的开心，希望我能做的下去(拉斐尔说的)
2026-08-14,BV1fEgw6PEZy,https://www.bilibili.com/video/BV1fEgw6PEZy,杀戮尖塔2—测试版第十三次更新！水温上升！大量卡牌削弱！敌人加强！至亮飞溅爹倒了！,1,0.14,266124,8301,446,619,1842,白夕Seal,点点赞汪！点点赞谢谢汪！ / 仅为测试分支更新，想提前体验这部分改动可以在steam右键杀戮尖塔2，选择属性，切换版本至测试版体验
2026-08-02,BV1ht3m6UEc9,https://www.bilibili.com/video/BV1ht3m6UEc9,杀戮尖塔2第七届猫粮杯PV,1,0.02,133296,4700,294,302,415,爱丽丝拉斐尔_Official,音频转自https://www.youtube.com/watch?v=a-ZaoVUBzqo / 作者：ALOUTOULOU / https://www.youtube.com/@ALOUTOULOU
