datetime,kind,title,text,url
2026-09-06 17:13,LIVE,杀戮尖塔2—豹豹今天豹毙了吗？,,https://t.bilibili.com/1244886023007109123
2026-09-02 17:00,VIDEO,【杀戮尖塔2】第七届猫粮杯表演赛,,https://t.bilibili.com/1243398229144371269
2026-09-02 12:50,VIDEO,杀戮尖塔2—白夕9月录播合集,,https://t.bilibili.com/1243333800354643984
2026-09-01 13:53,VIDEO,雪夜枪声—正式版上线！新上轮盘赌肉鸽！,,https://t.bilibili.com/1242978984487026696
2026-08-22 09:37,VIDEO,杀戮尖塔2—白夕8.7月录播合集,,https://t.bilibili.com/1239202325285830674
2026-08-19 10:00,VIDEO,杀戮尖塔2—这样变2是爽种还是毒种？内马尔幻想中的配合！试试新跃跃欲试！,,https://t.bilibili.com/1238094812133982292
2026-08-18 15:29,VIDEO,杀戮尖塔2—崩坠mod合集,,https://t.bilibili.com/1237808552541683745
2026-08-16 10:00,VIDEO,杀戮尖塔2—111版本Nosl合集,,https://t.bilibili.com/1236981573797019649
2026-08-15 17:00,VIDEO,【杀戮尖塔2】第七届猫粮杯录播合集,,https://t.bilibili.com/1236718708875853896
2026-08-15 10:08,FORWARD,,成功50连胜啦[星星眼]也顺手应该是拿下了第一个全职业nosl10连，最近每天猫粮杯解说比赛结束后会继续尝试挑战一下跨版本Nosl连胜，大概时间会在10点11点左右，每天打3-4局，剩下会打打点播[doge_金箍],https://t.bilibili.com/1236612636068544528
2026-08-14 19:34,VIDEO,杀戮尖塔2—测试版第十三次更新！水温上升！大量卡牌削弱！敌人加强！至亮飞溅爹倒了！,,https://t.bilibili.com/1236387416603885574
2026-08-10 14:37,FORWARD,,[doge_金箍]今天还是6点冲刺世界纪录 看看什么时候豹毙,https://t.bilibili.com/1234826440773468178
2026-08-05 16:51,FORWARD,,提出塔1端口化高手的储君攻略一枚啊[doge_金箍],https://t.bilibili.com/1233005670970687490
2026-08-02 12:00,VIDEO,杀戮尖塔2第七届猫粮杯PV,,https://t.bilibili.com/1231817309412130840
2026-08-02 09:05,VIDEO,杀戮尖塔2—白夕8月录播合集,,https://t.bilibili.com/1231772152127029271
2026-08-01 12:00,VIDEO,杀戮尖塔2—创造历史50连！110版本nosl点播合集,,https://t.bilibili.com/1231446271457230883
2026-07-31 14:35,VIDEO,杀戮尖塔2—测试版第十二更新！毒猎加强！创世之柱回调！大量先古调整！,,https://t.bilibili.com/1231115198165680146
2026-07-28 16:53,FORWARD,,猫粮杯要开始了[doge_金箍]可以注意一下报名时间！,https://t.bilibili.com/1230037444840128518
2026-07-25 16:50,VIDEO,杀戮尖塔2—白夕7月录播合集 下,,https://t.bilibili.com/1228923510754115590
2026-07-23 10:00,VIDEO,杀戮尖塔2—109版本nosl猎点播合集,,https://t.bilibili.com/1228075503779315736
2026-07-22 11:47,VIDEO,杀戮尖塔2—从夯到拉锐评商店遗物！工具箱依然能打，算盘叠已经拉完！,,https://t.bilibili.com/1227732018096242694
2026-07-20 10:00,VIDEO,杀戮尖塔2—毒种点播合集,,https://t.bilibili.com/1226962269780312084
2026-07-18 12:02,VIDEO,卡厄思梦境—二游观者爬塔试玩！,,https://t.bilibili.com/1226251474118377476
2026-07-17 14:52,VIDEO,杀戮尖塔2—测试版第十一更！2个月来最大更新！大量角色关键卡牌遭调整！遗物大改，瓦库加强！,,https://t.bilibili.com/1225924197646073892
2026-07-16 10:18,FORWARD,,[doge_金箍],https://t.bilibili.com/1225482623474728961
2026-07-14 16:49,POST,,终于是回到山东了[委屈]感谢豹白的好多小礼物，但是好像把不该带回山东的也带回山东了[灵魂出窍]新冠阳了，有身体不适的噶人们也可以测测看,https://t.bilibili.com/1224841260302336041
2026-07-12 19:42,POST,,今天bw好累[doge_金箍]来了差不多120个豹白，小礼物都不够了！稍等8点开播！,https://t.bilibili.com/1224143736133386260
2026-07-11 09:37,FORWARD,,出差皮肤这么快就有图图了[doge_金箍]可爱捏,https://t.bilibili.com/1223616670613897224
2026-07-07 07:49,POST,,7.12号中午11:15-12:15可以来近距离观豹[doge_金箍]握握手，握握双手,https://t.bilibili.com/1222104498567118853
2026-07-05 17:50,VIDEO,再见了 所有的爬塔战士！尖塔五大up合唱《One last kiss》看哭一众咔咔，希望噶人们能在以后的日子里享受生活,,https://t.bilibili.com/1221517247675105305
2026-07-05 10:00,VIDEO,杀戮尖塔2—108版本nosl合集,,https://t.bilibili.com/1221395970703491088
2026-07-04 15:44,VIDEO,杀戮尖塔2—测试版第十更！机器人压缩被砍烂！联机新增大量轮椅假卡！,,https://t.bilibili.com/1221113714040635398
2026-07-02 10:00,VIDEO,杀戮尖塔2—白夕7月录播合集,,https://t.bilibili.com/1220282710879109176
2026-07-01 08:55,FORWARD,,终于到了这一天了[doge_金箍]首页老刷到其他人的,https://t.bilibili.com/1219894905356156978
2026-06-28 17:04,VIDEO,杀戮尖塔2—5分钟速通19张储君白卡！来看看你喜欢的卡是不是拉完了？,,https://t.bilibili.com/1218907612620259350
2026-06-25 10:00,POST,,昨晚刚完成了全职业sl百连挑战！[doge_金箍]从5月23号开始，差不多刚好一个月，连胜档目前500多局，一共似了两次，怎么糖似的好难猜啊[星星眼] 各职业大体数据如图，只统计了106 107沙漏版本的局，因mod显示问题，实际储君和亡灵契约师名称需要互换 具体各职业情况为： 储君平均用时43.6分钟 平均卡组大小25张（已排除两局88卡和2257卡克隆大爆炸） 亡灵契约师平均用时43分钟，平均卡组大小27.2张 故障机器人平均用时36.4分钟，平均卡组大小27.2张 战士平均时长33分钟，平均卡组大小24.9张 猎手平均用时44分钟，卡组平均大小33张,https://t.bilibili.com/1217685078115614720
2026-06-20 09:00,POST,,今年第一次有机会被邀请为bw嘉宾啦！谢谢xbx们多年来的支持[给心心] 届时会在7.12号中午11:15到12:15 有1v1见面会，那几天也会在上海和豹白们玩玩逛逛[星星眼] 并且为到场的大家准备了新的小礼物以作纪念，有机会的噶人们可以来现场逮豹哦[doge_金箍],https://t.bilibili.com/1215814190365671425
2026-06-19 09:05,POST,,本周更新是修随机数耦合bug和上创意工坊。以及测试版转正式版，所以应该不用做新的资讯视频了[笑哭]又让安大哥水了一周,https://t.bilibili.com/1215444520381972485
2026-06-15 08:01,VIDEO,杀戮尖塔2—EA测试版储君百连合集（暂时完结）,,https://t.bilibili.com/1213943579658944536
2026-06-12 18:48,VIDEO,杀戮尖塔2—入门必修之：一层路线选择！密林更需要输出！暗港更需要防御！,,https://t.bilibili.com/1212997282395324420
2026-06-08 12:22,VIDEO,杀戮尖塔2—EA测试版亡灵契约师百连合集（暂时完结）,,https://t.bilibili.com/1211413341410426882
2026-06-05 12:57,VIDEO,杀戮尖塔2—测试版第八更！沙漏小削！卡牌微调！内容很少的假装更新！,,https://t.bilibili.com/1210309062368952326
2026-06-04 12:00,VIDEO,杀戮尖塔2—白夕6月录播合集,,https://t.bilibili.com/1209923284077903923
2026-06-03 08:45,POST,,感谢@w茶丸w 画的女鹅！可爱捏！ buff有点吓人了[星星眼][星星眼],https://t.bilibili.com/1209501939199377415
2026-06-03 03:46,VIDEO,杀戮尖塔2—EA测试版机器人百连合集（暂时完结）,,https://t.bilibili.com/1209424857463259136
2026-05-31 12:00,FORWARD,,恭喜@看什么看老子在卷_@陨阳月夕中奖，已私信通知，详情请点击抽奖查看。,https://t.bilibili.com/1208438994918965254
2026-05-30 17:53,VIDEO,卡厄思梦境—国服正式上线！看看豹最近唯一在玩的手游！,,https://t.bilibili.com/1208158958803484712
2026-05-30 03:32,VIDEO,杀戮尖塔2—EA测试版战士泥头车百连合集（暂时完结）,,https://t.bilibili.com/1207936896049610756
2026-05-27 02:04,VIDEO,5.3茶话会【双语字幕ver】,,https://t.bilibili.com/1206801044733952003
2026-05-24 16:48,FORWARD,,还有认真舔游戏的老朋友诈尸环节[doge_金箍],https://t.bilibili.com/1205915727431729177
2026-05-23 12:00,VIDEO,杀戮尖塔2—1.06版本更新 白夕5.7月录播合集,,https://t.bilibili.com/1205470266297155620
2026-05-23 10:00,VIDEO,杀戮尖塔2—EA测试版猎手百连合集（暂时完结）,,https://t.bilibili.com/1205439308191760432
2026-05-22 13:55,VIDEO,杀戮尖塔2—测试版第七更！严肃针对乌龟打法！观者式更新！上版平静，这周该暴怒了！,,https://t.bilibili.com/1205128786315575296
2026-05-14 17:11,VIDEO,杀戮尖塔2—宇宙冷漠是什么杯？（翻唱）,,https://t.bilibili.com/1202210596566597636
2026-05-13 12:27,FORWARD,,[给心心][给心心]谢谢@成田杏仁 画的女鹅！可爱捏！,https://t.bilibili.com/1201766350941323267
2026-05-11 10:00,VIDEO,杀戮尖塔2—5滴血冲刺3精英墨影幻灵！105版本最红利职业！机神归位！,,https://t.bilibili.com/1200986281786474504
2026-05-10 12:00,VIDEO,杀戮尖塔2—白夕5.5月录播合集,,https://t.bilibili.com/1200646167592960004
2026-05-10 10:00,VIDEO,杀戮尖塔2—105新版剑圣最强用法！每回合只出1张牌nosl爆杀女王实验体！,,https://t.bilibili.com/1200615200911261716
2026-05-08 16:19,VIDEO,杀戮尖塔2—测试版第六更！再见了，门小弟！机宝终于加强！新的塞牌Boss！比较满意的一周！,,https://t.bilibili.com/1199970698088415269
2026-05-08 09:27,FORWARD,,谢谢秦晓月画的可爱女鹅[大笑][大笑]好看捏,https://t.bilibili.com/1199864530845302788
2026-05-07 09:30,POST,,老家的樱桃，很漂亮[大笑][大笑]昨晚下雨了，有泥巴，这次没让小狗回来玩[委屈],https://t.bilibili.com/1199494364738355207
2026-05-05 16:51,POST,,每年一次的生日会要到咯！感谢大家一直以来的支持[doge_金箍] 时间就在五月七日晚6点啦！,https://t.bilibili.com/1198865839236841475
2026-05-04 19:23,POST,,因为近期茶话会启发，在这里试试简单统计一下大家的对各职业的观点。 我发起了一个投票杀戮尖塔2 目前103和104版本最不满意的职业 首先，目前版本的尖塔即便是0.104，说到底对比塔1因为没有心脏层仍然是难度较低的。 我个人是没什么不满意的，因为我不反感打毒种，反而是爽种玩多了就腻了，塔2作为新东西，经常每天直播9小时下来也会有新的体验，比如发开酒壶，开发烘焙手套，预借时间倾泻。同样相信深度玩家在学习或练习后也是可以适应游戏难度打出不错成绩的。 但正如安东尼那边的统计数据轻度玩家占大头，同理轻度玩家也绝对是最应该影响游戏平衡的部分，游戏可以有深度，但不能有太高的上手难度最理想的所谓易学难精正是如此。 所以我在考虑对拉斐尔的反馈意见时（无法直接联系安东尼），会更多参考粉丝的意见，也只需要对观众负责，同样无力获取到能力之外的信息或数据，所以至少在这里用b站功能收集一下现在大家最不满意的职业，表达一个态度。 本周五门扉应该就会有较大改动，这个应该可以确定，也希望尖塔2后续更新能平稳进行。,https://t.bilibili.com/1198533932787695616
2026-04-30 18:01,VIDEO,雪夜枪声—俄罗斯轮盘赌肉鸽！但子弹杀伤力不如嘴臭！,,https://t.bilibili.com/1197028258997075993
